name,hostname,borough,neighbourhood,roomtype,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
Perfect West Village Studio!,Laurie,Manhattan,West Village,Entire home/apt,295,5,6,1,0
Furnished Room with View of E River,Judy,Manhattan,Kips Bay,Private room,113,1,2,1,0
Huge Private Room in the BEST location,Judy,Manhattan,Flatiron District,Private room,95,3,1,1,0
Modern& Pretty Bedroom UpperBest!!!!,Yukee,Manhattan,Upper West Side,Private room,59,3,68,6,319
Family Friendly Getaway,Susan,Brooklyn,Flatbush,Entire home/apt,100,28,0,1,4
Cosy & Quiet BD in Central Harlem,Vigil,Manhattan,Harlem,Private room,69,6,40,2,329
Perfect location!,Dajana,Manhattan,East Village,Private room,190,2,1,1,0
1 bedroom in East village,Pierre,Manhattan,East Village,Private room,110,4,0,1,0
Cozy Brooklyn Studio with Parking,Shay,Brooklyn,Flatlands,Entire home/apt,65,14,1,1,0
Ocean Hill - Beautiful 3 Bedroom,Alex & Family,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,1,69,1,309
Gorgeous home steps from the park!,Beatrice,Brooklyn,Park Slope,Entire home/apt,152,3,1,1,0
Extra Large 1 Bdroom Sunny/Spacious,Iz,Manhattan,East Village,Entire home/apt,249,3,3,1,0
Chambre disponnible,Marine,Brooklyn,Bedford-Stuyvesant,Private room,100,1,0,1,0
Private Bedroom in Beautiful Apartment,Florence And Peter,Manhattan,Harlem,Private room,95,4,20,1,69
Great UWS Studio Apartment,Gino,Manhattan,Upper West Side,Entire home/apt,130,2,3,1,0
2 Bedroom Duplex,Sylvia,Brooklyn,Prospect Heights,Entire home/apt,145,3,18,1,0
"A huge, debonair loft in midtown",Gregory,Manhattan,Murray Hill,Entire home/apt,325,1,66,1,67
"1 Train, Delis, Duane Read,Eat Outs",Sundar,Manhattan,Morningside Heights,Private room,75,1,1,1,0
"Sunny, Private room in Bushwick",,Brooklyn,Bushwick,Private room,37,1,1,1,0
The city cabin,Jerry,Queens,Ridgewood,Entire home/apt,75,1,52,1,317
Cozy Artist Bedroom — Only a 3 Min Walk to Subway!,Ksenia & Masha,Brooklyn,Bedford-Stuyvesant,Private room,50,3,102,6,364
Million Dollar Views of Manhattan!!,Roy,Queens,Long Island City,Entire home/apt,150,14,0,1,0
Entire Prime Upper West Side Large Studio,Ofer,Manhattan,Upper West Side,Entire home/apt,99,30,13,8,140
"Cozy room with beautiful yard and huge, soft bed",Ilana,Brooklyn,Bushwick,Private room,50,4,11,1,0
Private room 3min from Bedford stop,Signe,Brooklyn,Williamsburg,Private room,65,1,0,1,0
FIDI brand new studio on 33th floor,Elly,Manhattan,Financial District,Entire home/apt,150,1,9,1,0
Colorful & Spacious near A Express,Andrew,Manhattan,Washington Heights,Private room,88,2,48,1,122
Spacious Luxury Studio-96th and WEA,Robin,Manhattan,Upper West Side,Entire home/apt,190,4,8,1,0
Lovely Lofted Room in UWS,Wing-Yee,Manhattan,Upper West Side,Private room,125,1,1,1,0
Colorful flat in heart of E Village,A.J.,Manhattan,East Village,Entire home/apt,284,4,11,2,0
Breathtaking Light & View West Village Apartment,Shehzad,Manhattan,West Village,Private room,150,1,1,1,0
The Oasis.,Elena,Manhattan,Harlem,Private room,16,2,43,3,154
Luxury High-Rise in Center of NYC/Manhattan,Nisha,Manhattan,Midtown,Entire home/apt,190,6,0,1,0
Your home away from home,Miriam,Brooklyn,Bushwick,Private room,60,2,70,2,70
Cozy 1Br Apt❤️of Upper East Side near Central Park,Ulysse,Manhattan,East Harlem,Private room,99,4,49,1,97
Best Location - HUGE 2 bedroom by Times Square!,Michael Shane,Manhattan,Hell's Kitchen,Entire home/apt,100,3,63,1,7
1 BD in Washington Heights,Catherine,Manhattan,Washington Heights,Private room,35,1,4,1,0
"Charm and Comfort, Heart of the UWS",Christopher,Manhattan,Upper West Side,Entire home/apt,167,7,2,1,14
Save$PrivateRoom walking distance to Times Square,Tiba,Manhattan,Hell's Kitchen,Private room,140,1,159,5,249
Sunny Upper West Side Summer Rental,Emily,Manhattan,Upper West Side,Entire home/apt,175,3,4,1,0
Fantastic Apt. Amazing LES Location,Brian,Manhattan,Lower East Side,Entire home/apt,249,1,6,1,0
Private bedroom in SOHO,Charlotte,Manhattan,Tribeca,Private room,110,1,0,1,0
Large Apartment w/ Amenities,Firas,Manhattan,Midtown,Entire home/apt,250,1,0,1,0
Gowanus Brooklyn Bed,Alec,Brooklyn,Gowanus,Private room,129,1,116,8,236
Huge private bedroom for quiet sleep in Manhattan!,Luke,Manhattan,Two Bridges,Private room,95,1,92,2,47
Enjoy a comfy apartment on the UWS,Gat,Manhattan,Upper West Side,Entire home/apt,280,1,1,1,0
Studio one block from Central Park,Jocelyn,Manhattan,Upper West Side,Entire home/apt,200,7,3,1,0
Park Slope -Sunny 3BR duplex,Birgitta,Brooklyn,Park Slope,Entire home/apt,276,3,19,2,78
1bdrm east village,Curtis,Manhattan,East Village,Entire home/apt,130,3,26,1,0
!!BEAUTIFUL APARTMENT WITH GARDEN!!,Luis,Manhattan,Marble Hill,Entire home/apt,40,3,2,1,0
Our Astorian Alcove,Angela,Queens,Astoria,Entire home/apt,122,6,0,1,13
"Gramercy Apt, Private Bedroom",Smit,Manhattan,Kips Bay,Private room,64,3,4,1,0
Steps from Gramercy Park,Scott,Manhattan,Gramercy,Entire home/apt,399,1,28,1,354
Spacius and quiet loft in Greenwich village,Sylvie,Manhattan,Chelsea,Entire home/apt,495,5,8,1,0
Duplex garden brownstone apt,Maeva & Aaron,Brooklyn,Clinton Hill,Entire home/apt,145,2,2,1,0
"""Your home away from home #2",Miriam,Brooklyn,Bushwick,Private room,53,2,56,2,81
"Well-located Apt in Sunnyside, NYC",Kyoung,Queens,Sunnyside,Entire home/apt,100,1,72,1,0
Brooklyn artist apartment,May,Brooklyn,Bushwick,Private room,42,3,5,1,298
Modern Stdio  - Upper East,Mor,Manhattan,Upper East Side,Entire home/apt,200,30,3,9,353
GARDEN OASIS CLINTON HILL BROWNSTON,Emiliano,Brooklyn,Clinton Hill,Entire home/apt,130,3,97,1,348
Penthouse Triplex/ Union Sq / Roof,Chris,Manhattan,East Village,Private room,200,30,8,1,365
Sublet in Furnished Master Bedroom,Kim,Brooklyn,Prospect-Lefferts Gardens,Private room,75,1,1,1,0
Sunny room right by park!,Tine,Brooklyn,Prospect-Lefferts Gardens,Private room,45,14,9,2,0
Historic room in renovated brownstone,Loli,Brooklyn,Bedford-Stuyvesant,Private room,52,2,110,2,220
Front bdrm in massive NoLita Loft,Alex,Manhattan,Lower East Side,Private room,100,1,1,1,0
3 Bedroom Greenpoint Townhouse,Dorothy,Brooklyn,Greenpoint,Entire home/apt,350,3,15,1,0
Cozy Manhattan room ★ 3 mins to subway,Vivian Yuen Ting,Manhattan,Washington Heights,Private room,70,1,88,1,0
"Room in Bushwick, Brooklyn",Camilla,Brooklyn,Bushwick,Private room,39,4,4,1,0
UPPER WEST SIDE one bedroom apt,Nicola,Manhattan,Upper West Side,Entire home/apt,120,150,0,1,365
"Amazing windows, large West Village one-bedroom",Alison,Manhattan,West Village,Entire home/apt,239,2,6,1,0
1785 The Oldest Row House in New York.,Ross,Manhattan,Chinatown,Entire home/apt,375,2,15,2,365
Desirable apt. in prime location,Julianne,Brooklyn,Williamsburg,Entire home/apt,125,1,1,1,0
Bkln (Vinegar Hill) duplex w/garden,Anna,Brooklyn,Vinegar Hill,Entire home/apt,375,14,0,1,0
"Cozy, artistic room in Brooklyn Apt",Elle,Brooklyn,Bedford-Stuyvesant,Private room,45,3,3,1,0
Private room in spacious house,Ali,Queens,Long Island City,Private room,60,7,1,1,0
Room in Condo,Coral,Brooklyn,Crown Heights,Private room,75,1,5,1,65
The Golden Chamber,Jonathan,Manhattan,Harlem,Private room,70,5,42,3,348
Charming Private Suite in the South Bronx,Justin,Bronx,Concourse Village,Entire home/apt,65,4,107,1,210
Sunny Bedroom in West Village Loft,Lisa,Manhattan,West Village,Private room,250,2,0,1,0
Lower East Side/Chinatown Bedroom,Sasha,Manhattan,Two Bridges,Private room,99,2,28,1,296
Room in BushBurg Apt w/ Rooftop,Jordan,Brooklyn,Williamsburg,Private room,95,1,3,1,0
Studio!Astoria station in 3min!,Daisuke,Queens,Ditmars Steinway,Private room,46,7,0,1,0
"Spacious, unique apt - see reviews! Last minute ok",Nikhil,Manhattan,East Village,Entire home/apt,275,1,35,1,0
Beautiful 2bdroom apartmnt,John,Queens,Forest Hills,Entire home/apt,168,3,133,2,336
Private bedroom in two bedroom APT,Ron,Brooklyn,Williamsburg,Private room,45,31,3,1,0
Fantastic Cozy Stay-NYC. 4B,Andres,Brooklyn,Bedford-Stuyvesant,Entire home/apt,80,1,93,2,0
Studio in Lux Building on UWS!,Laura,Manhattan,Upper West Side,Entire home/apt,150,16,0,1,0
"NEW! SAFE, Bright in the Heights",Akiea,Manhattan,Washington Heights,Entire home/apt,115,1,4,1,0
Cosy Bedroom in typical brownstone,Candice,Brooklyn,Boerum Hill,Private room,65,2,6,1,0
"Wburg Penthouse, Private elevator, balcony, roof",Nick And Jade,Brooklyn,Williamsburg,Entire home/apt,201,2,175,1,68
Brooklyn Summer,Daliso,Brooklyn,Crown Heights,Private room,55,7,0,1,0
Bright Private Room in Williamsburg!,Surabhi,Brooklyn,Williamsburg,Private room,120,1,3,1,0
Private Room in Astoria,Alina,Queens,Astoria,Private room,50,1,1,1,0
Stylish central 1 BR apartment,Robert,Manhattan,Chelsea,Entire home/apt,100,4,4,1,0
Homey 1 BR apartment in Harlem,Alana,Manhattan,Harlem,Entire home/apt,100,14,2,1,0
Entire Williamsburg Music Lovers Palace―1 Blk to L,Christopher,Brooklyn,Williamsburg,Entire home/apt,59,7,9,1,0
Twin Loft Nook in Brooklyn,Jarad,Brooklyn,Bushwick,Shared room,44,5,27,2,0
Tree-lined block+Roof+private rooms,Joshua,Brooklyn,Crown Heights,Private room,79,5,3,3,0
Eclectic Williamsburg Townhouse,Robbie,Brooklyn,Williamsburg,Private room,56,3,2,1,0
"Clean, bright, renovated apt in Lower East Side",Carole,Manhattan,Lower East Side,Entire home/apt,140,5,8,1,0
MODERN NYC APARTMENT,Joshua,Manhattan,Murray Hill,Entire home/apt,160,1,5,1,0
"Big space, great price, a home by Mnhn, best in BK",Michael,Brooklyn,Crown Heights,Entire home/apt,119,4,91,1,316
Spacious Studio + Patio,Stacey,Manhattan,Lower East Side,Entire home/apt,185,3,26,1,0
Quiet Bedroom in Large Charming Apt,Phi Lee,Brooklyn,Prospect-Lefferts Gardens,Private room,55,3,0,1,0
Cozy Room in Washington Heights Apt,Elizabeth And Elias,Manhattan,Washington Heights,Private room,58,1,148,1,280
1 private bedroom in Williamsburg,Mo,Brooklyn,Williamsburg,Private room,85,4,4,1,0
Great sunny room in a fun house,Kat,Brooklyn,Bedford-Stuyvesant,Private room,100,1,1,1,0
"Cozy ""Jr."" 1B, historic brownstone",Seth,Brooklyn,Crown Heights,Entire home/apt,110,1,5,1,0
Cozy room near LES/Chinatown,Billy,Manhattan,Chinatown,Private room,80,5,1,1,0
Dominique's LowerLevel 1 bdrm pad*video projects,Vie,Bronx,Eastchester,Entire home/apt,115,1,6,13,364
relaxed and simple in Williamsburg,Matthew,Brooklyn,Williamsburg,Private room,99,4,58,1,307
My Little Guest Apartment,Linda,Queens,Flushing,Entire home/apt,105,2,204,3,313
Cozy Room in UES Apartment,Jennifer,Manhattan,Upper East Side,Private room,110,2,3,1,0
Brooklyn Creative Snooze Factory,Benjamin,Brooklyn,Bedford-Stuyvesant,Private room,70,1,397,2,35
Private Room w/ access to Terrace,Mackenzie,Manhattan,Upper West Side,Private room,160,1,7,1,0
Lofted bedroom in large loft space full of plants,Tim,Brooklyn,Bushwick,Private room,150,30,10,1,0
UWS STUDIO,Maurine,Manhattan,Upper West Side,Entire home/apt,90,4,1,1,0
Bright and Sunny Apartment DUMBO,Ben,Brooklyn,DUMBO,Entire home/apt,150,7,0,1,0
"Skylighted Floor, All Yours, 23 Mins to Manhattan",Michael,Brooklyn,Bedford-Stuyvesant,Entire home/apt,86,30,10,1,302
Roomy and quiet 2BR in Manhattan!,Candace,Manhattan,Washington Heights,Entire home/apt,200,1,2,1,0
LUXURY DOORMAN HIGH RISE One Bedroom,Jason,Manhattan,Hell's Kitchen,Entire home/apt,272,1,38,1,360
"Spacious, charming studio",Yelena,Manhattan,Upper West Side,Entire home/apt,86,1,5,1,0
Beautiful Apartment in Williamsburg,Maeve,Brooklyn,Williamsburg,Entire home/apt,200,5,0,1,0
"Comfy Apt! Private Bathroom, Prime Location, Patio",Jonathan,Manhattan,Hell's Kitchen,Private room,129,2,290,1,26
2C  Private Rm in Guesthouse Manhattan,Bobi,Manhattan,East Harlem,Private room,50,1,103,10,365
Nolita Room - Convenient & Quaint,Sharmilli,Manhattan,Nolita,Private room,95,4,1,1,0
COBBLE HILL BROWNSTONE,Claire,Brooklyn,Cobble Hill,Entire home/apt,400,6,5,1,85
Entire 1 BR apt in luxury building!,Brooke,Manhattan,Financial District,Entire home/apt,212,1,0,1,0
Unique Space in Red Hook,Kim,Brooklyn,Red Hook,Entire home/apt,160,2,64,1,341
Enormous bedroom in UWS 2-bed,Barr,Manhattan,Upper West Side,Private room,90,3,1,1,0
Sunny Studio in Clinton Hill,Gillian,Brooklyn,Clinton Hill,Entire home/apt,145,6,17,1,15
Forest Hills home shares its breathtaking beauty,Nate,Queens,Forest Hills,Entire home/apt,125,2,44,1,319
Upper East Side + 2 queen size bed,Daniel,Manhattan,Upper East Side,Entire home/apt,250,3,0,1,0
"Family Friendly & Cozy Apt Near Subway, 1 Bedroom",Erica,Brooklyn,South Slope,Entire home/apt,100,3,100,1,6
"Cozy private room, close to the subway & beach",Misha,Brooklyn,Sheepshead Bay,Private room,75,1,8,1,311
Cosy Williamsburg,Estelle,Brooklyn,Williamsburg,Private room,75,4,2,1,0
A spacious studio in Midtown / UES,Jay,Manhattan,Upper East Side,Entire home/apt,195,3,0,1,0
Charming Brooklyn 1BD+Den,Christopher,Brooklyn,Carroll Gardens,Entire home/apt,125,14,2,1,0
"Private! entire studio, own entrance, private bath",Walter,Brooklyn,Bushwick,Entire home/apt,85,1,208,4,197
West Village Studio,Peter,Manhattan,West Village,Entire home/apt,200,1,0,1,0
3 bedrooms in Upper East Side with amazing terrace,Hans,Manhattan,Upper East Side,Entire home/apt,449,4,6,2,4
Williamsburg 2 Bedroom,Mary Kate,Brooklyn,Williamsburg,Entire home/apt,150,2,1,1,0
Luxury Williamsburg Duplex w/ Yard!,Gigi,Brooklyn,Williamsburg,Entire home/apt,250,2,176,1,275
Big Room in Heart of Williamsburg,Elan,Brooklyn,Williamsburg,Private room,100,28,0,1,0
Magical Oasis in Bushwick! 20 min to City,Leah,Brooklyn,Bushwick,Entire home/apt,120,2,56,1,314
"Perfect Room, East Village Dream",Michael,Manhattan,East Village,Private room,115,2,246,1,69
L.E.S. / Chinatown,Jada,Manhattan,Chinatown,Private room,89,4,3,1,0
SoHo/Greenwich Village 1BR Apt,Jeffrey,Manhattan,Greenwich Village,Entire home/apt,180,3,2,1,0
Astoria next to Beer Garden!,Faye,Queens,Ditmars Steinway,Entire home/apt,70,4,2,1,0
Sunny Bohemian Tasteful East Harlem,Giselle,Manhattan,East Harlem,Private room,140,2,50,2,0
Sunny Spacious Room/Friendly Rates,Nancy,Brooklyn,Canarsie,Private room,37,5,72,5,322
Brooklyn Cute Room + Private Bath!,Zuzi,Brooklyn,Clinton Hill,Private room,70,1,4,1,0
Large Sunny Room in Williamsburg,Simon,Brooklyn,Williamsburg,Private room,88,4,7,5,0
3 Bedroom Apt in Williamsburg w Private Rooftop,Simon,Brooklyn,Williamsburg,Entire home/apt,320,4,56,5,141
Wonderful Kips Bay 1 BR + Elevator!,Jeff,Manhattan,Kips Bay,Entire home/apt,200,2,0,1,0
Spacious room is Park Slope,Alexander,Brooklyn,Gowanus,Private room,55,1,1,1,0
Loft Studio Midtown Lux Doorman,Patrick,Manhattan,Midtown,Entire home/apt,195,3,5,1,0
Spacious South Williamsburg Apartment,Ryan,Brooklyn,Williamsburg,Private room,115,3,0,1,0
Large Midtown East Duplex,Joshua,Manhattan,Midtown,Private room,125,1,0,1,0
The Brownstone 2 / Luxury 1 Bd Apt,Simon,Manhattan,East Harlem,Entire home/apt,155,3,116,2,247
Modern 1BR Next To Central Park,Casey,Manhattan,Harlem,Entire home/apt,170,3,1,1,0
"Cozy, sunny East Village bedroom",Lucas,Manhattan,East Village,Private room,115,2,0,1,0
Spacious One Bedroom Apartment,R.J.,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,74,2,0,1,0
Huge Bright Room in Williamsburg,Luca,Brooklyn,Williamsburg,Private room,100,1,0,2,0
Spacious Studio in Midtown,Mark,Manhattan,Murray Hill,Entire home/apt,125,2,21,1,0
Bright Nordic Serenity in Brooklyn,Margrethe,Brooklyn,Midwood,Private room,70,1,0,1,0
Studio Apt With Backyard,Danny And June,Brooklyn,Clinton Hill,Entire home/apt,110,1,179,2,118
Beautiful Condo w/ Private Rooftop,Neil,Brooklyn,Williamsburg,Entire home/apt,395,4,9,1,10
Prime Williamsburg LOFT next to Bedford L,Marek,Brooklyn,Williamsburg,Entire home/apt,215,3,14,1,0
A True Gem.,Kamilah,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,2,17,1,336
Classic Parlor Level Brownstone,Cristy,Manhattan,Gramercy,Private room,295,3,22,1,0
Big room with private bathroom in Bushwick,Anisia,Brooklyn,Bushwick,Private room,60,4,6,1,2
"Cozy private room in Brooklyn, NYC.",Viktoriya,Brooklyn,Gravesend,Private room,55,1,135,1,22
Cozy 1BD | 15 min. to Grand Central,Sarah,Queens,Sunnyside,Entire home/apt,85,1,3,2,0
Great room near CUMC!,Alana,Manhattan,Washington Heights,Private room,40,6,0,1,0
"Spacious, Bright, Brooklyn Beauty",Matthew,Brooklyn,Park Slope,Entire home/apt,200,1,0,1,0
"Sunny Private Room, & bath",Chao,Brooklyn,Bedford-Stuyvesant,Private room,90,2,115,2,0
Private room,Olga,Manhattan,Upper East Side,Private room,49,2,78,2,182
Sweet Home at Washington high everyone is welcome,Frank,Manhattan,Washington Heights,Private room,50,1,10,1,71
Cozy Studio in Prospect Heights,Felami,Brooklyn,Prospect Heights,Entire home/apt,85,7,52,1,24
Entire rowhouse+garden+deck in Park Slope/Gowanus,Jennifer,Brooklyn,Park Slope,Entire home/apt,350,4,1,1,14
Room in spacious apt near the park,Sidra,Brooklyn,Flatbush,Private room,38,30,2,1,0
Spacious room w/private roof deck,Kate,Brooklyn,Carroll Gardens,Private room,158,2,4,2,0
Modern Rustic NYC Chic in the LES,Matt,Manhattan,Chinatown,Entire home/apt,245,4,27,1,0
Cozy Williamsburg Brooklyn Space,Dave & Theresa,Brooklyn,Williamsburg,Entire home/apt,110,3,137,2,154
Harlem Home Away From Home,Tiana,Manhattan,Harlem,Private room,55,2,0,1,0
Luxury Apt in Financial District,Lisa,Manhattan,Financial District,Entire home/apt,275,1,0,1,0
"Clean room in a cozy, peaceful home",Lisa,Manhattan,Harlem,Private room,50,1,37,1,0
"Cozy,newly furnished room inAstoria",Freda,Queens,Ditmars Steinway,Private room,45,6,4,8,318
Modern Mulberry St Room for 1 Female Guest,A,Manhattan,Little Italy,Private room,85,2,79,1,0
1 bedroom apt in pvt 2 fam house,Debra,Brooklyn,Crown Heights,Entire home/apt,150,1,24,1,299
Huge duplex apartment with garden!,Andreas Per Daniel,Manhattan,Midtown,Entire home/apt,247,5,25,1,0
1BR in East Harlem apt,Eliana,Manhattan,East Harlem,Private room,105,2,5,1,273
3 Bedroom Downtown NYC loft,Ella,Manhattan,Financial District,Entire home/apt,400,2,8,1,44
Astoria HUGE Balcony PRIME location,Chris,Queens,Astoria,Entire home/apt,155,6,4,1,173
2 Bdrm apt Near Empire State Building,Nina,Manhattan,Midtown,Entire home/apt,150,30,5,14,217
A large 1-bedroom apartment,Olga,Manhattan,Inwood,Entire home/apt,120,3,0,1,0
Cheap & Basic Temporary Airbed Room,Champson,Queens,Elmhurst,Private room,69,1,14,2,0
Studio apartment in the heart of Chelsea,Zachariah,Manhattan,Chelsea,Entire home/apt,199,2,71,1,0
Duplex 3BR SOHO Penthouse w.Terrace,Meriem,Manhattan,Greenwich Village,Entire home/apt,499,5,3,1,0
Best location! Chelsea/West Village/Meatpacking,Ryan,Manhattan,Chelsea,Entire home/apt,150,2,150,1,2
Spacious private room,Sophie,Brooklyn,Park Slope,Private room,300,1,0,1,0
Wburg 1 bedroom - Spacious & Sunny,Franky,Brooklyn,Williamsburg,Entire home/apt,105,5,33,1,8
"Cozy,  single bed room.15min to NYC",Freda,Queens,Ditmars Steinway,Private room,45,6,25,8,307
"Brooklyn, Sundrenched & Peaceful",Gan,Brooklyn,Sunset Park,Entire home/apt,105,7,3,1,0
Master bedroom + private bathroom,Costanza,Manhattan,Hell's Kitchen,Private room,130,3,14,1,293
Huge&Bright Room in Greenwich Vill.,Shef,Manhattan,Greenwich Village,Private room,75,2,4,1,0
BK Heights Apartment for cat lovers,Meredith & Dave,Brooklyn,Brooklyn Heights,Entire home/apt,150,5,15,1,0
Industrial Flex 2br duplex Loft in Brooklyn,Vida,Brooklyn,Greenpoint,Entire home/apt,159,30,3,52,340
Cozy home in Williamsburg!,Souheil,Brooklyn,Williamsburg,Entire home/apt,100,7,15,1,0
A beautiful and friendly beach area,Oleg,Brooklyn,Manhattan Beach,Entire home/apt,145,4,59,1,157
Live like a real New Yorker right by Central Park,Chloe,Manhattan,Upper West Side,Entire home/apt,220,2,13,1,0
Spacious Duplex for Spring Retreat,Randy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,4,9,1,365
"2 Bedroom fully furnished apt,Clinton Hill BK",Myrdith,Brooklyn,Clinton Hill,Entire home/apt,175,1,150,1,300
Private Artisitic Room East Village,Goldwyn,Manhattan,East Village,Private room,82,3,11,1,0
"Sunny & Tall 1 BR, Central Pk,Train",Joe,Manhattan,Upper East Side,Entire home/apt,200,5,95,2,182
NY City for the 4th of July!,Jon,Manhattan,Midtown,Entire home/apt,300,1,0,1,0
Steps to Grand Central! Large 1BDR,Kennedi,Manhattan,Murray Hill,Entire home/apt,199,1,0,1,0
"Spacious, Peaceful Room",Brooke,Queens,Elmhurst,Private room,85,2,188,2,2
Great Upper East Side Location!,McClain,Manhattan,Upper East Side,Entire home/apt,135,3,11,1,0
Kid friendly 2 bedroom in Harlem,Jessica,Manhattan,Harlem,Entire home/apt,150,3,2,1,0
BROWNSTONE BUILDING IN CLINTON HILLS,Donovan,Brooklyn,Bedford-Stuyvesant,Private room,65,2,49,2,310
3BR Williamsburg Duplex w/Backyard,Britt,Brooklyn,Williamsburg,Entire home/apt,395,5,16,1,67
Private Terrace in the East Village,Ashley,Manhattan,East Village,Entire home/apt,379,7,45,1,364
Stylish Apartment in GREAT West Village Location,Milan,Manhattan,West Village,Entire home/apt,250,2,5,1,0
NICEQUIET10 MINUTES TO TIME SQUARE.,El,Manhattan,Harlem,Private room,90,2,11,3,282
Gem of Bushwick,Jaamil,Brooklyn,Bushwick,Private room,40,10,22,1,4
Riverside and 160th--Long Stay,Seán,Manhattan,Washington Heights,Entire home/apt,200,2,1,1,0
Casa de la Luna -Bedford Stuyvesant,Jessica,Brooklyn,Bedford-Stuyvesant,Entire home/apt,133,2,49,3,319
"Large, charming studio on UWS",Yelena,Manhattan,Upper West Side,Entire home/apt,140,1,2,1,0
Renovated 2BR apartment MIN 30 DAY,Elem,Manhattan,East Harlem,Entire home/apt,100,30,12,15,342
Vintage 1B Artist Loft in Brooklyn,Kyle,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,85,2,2,1,0
Art Deco NYC Upper West 2br Apt,Ted,Manhattan,Upper West Side,Entire home/apt,385,30,0,1,0
Sunny room 30 min from Manhattan,Nelesi,Brooklyn,Flatbush,Private room,50,10,0,1,0
Charming Park Slope 1BR w/ Patio,Becky And John,Brooklyn,South Slope,Entire home/apt,140,3,14,1,0
Large Studio on the Upper East Side,Whitney,Manhattan,Upper East Side,Entire home/apt,120,1,1,1,0
STUDIO in the East Village,Esther,Manhattan,East Village,Entire home/apt,110,4,3,1,0
Lovely room In Williamsburg,Olivia,Brooklyn,Williamsburg,Private room,106,14,0,1,0
Beautiful Spacious 1 Bed in Hip Harlem Neighborhd,Leonarda,Manhattan,Harlem,Entire home/apt,115,3,71,1,4
Houseboat in the Rockaways,Ambrose And Florence,Queens,Arverne,Entire home/apt,120,1,26,1,14
The Kook House  - Rockaways BEST Summer House!!,Michael,Queens,Arverne,Entire home/apt,300,1,67,1,344
Home Sweet Home :),Leonit,Brooklyn,Sheepshead Bay,Private room,59,1,5,1,319
COZY HOUSE 10 MINS FROM LA GUARDIA!,Nick,Queens,Ditmars Steinway,Entire home/apt,140,3,2,2,363
Large BR w/Private Ent & Living Rm!,Jules,Brooklyn,Park Slope,Private room,99,1,100,1,1
Great room for couples on a budget!,Nicole,Queens,Long Island City,Private room,52,1,4,1,0
Garden Apt.  East Village NY,John,Manhattan,East Village,Entire home/apt,125,1,4,1,0
Room for rent in corona queens,Angelo,Queens,Corona,Private room,150,2,0,1,363
NYC ROOM GORGEOUS LIGHT! RIVER VIEW,Svjetlana,Manhattan,Harlem,Private room,65,4,37,3,196
Immaculate Gramercy One-Bedroom,Joseph,Manhattan,Gramercy,Entire home/apt,249,2,0,1,0
Furnished Unit (115 and Amsterdam),Connor R,Manhattan,Morningside Heights,Private room,84,1,0,1,0
Spacious bedroom in Astoria,Sam,Queens,Astoria,Private room,53,3,2,1,0
Unbelievable NYC Apt Avail Nov!,Dana,Manhattan,Midtown,Entire home/apt,340,2,19,1,0
Perfect Room in Brooklyn,Grant,Brooklyn,Bushwick,Private room,80,7,2,1,0
Spacious One-Bedroom near Prospect Park,A,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,75,5,0,1,0
Art filled Brooklyn Hideaway with private bathroom,Daniela,Brooklyn,Bedford-Stuyvesant,Private room,80,3,131,1,140
Private Room in Williamsburg Apt,Emeka,Brooklyn,Williamsburg,Private room,78,2,1,1,0
Large 1BR in heart of Williamsburg!,Samantha,Brooklyn,Williamsburg,Entire home/apt,149,30,35,1,0
Sunny Bedroom near major stations,Cynthia,Brooklyn,Fort Greene,Private room,80,2,124,1,251
Huge one bedroom apartment,Stephanie,Brooklyn,Crown Heights,Entire home/apt,115,5,1,1,0
Amazing UWS /Central Park West Location,Kirsten,Manhattan,Upper West Side,Private room,90,1,185,1,60
PRIVATE one Bedroom in Williamsburg,Jeffrey,Brooklyn,Williamsburg,Entire home/apt,175,3,10,1,0
Luxury Apt on Central Park South,Kate,Manhattan,Midtown,Entire home/apt,350,1,0,1,364
Clean & Cozy East Village Home Steps From Park,L,Manhattan,East Village,Entire home/apt,194,2,36,1,0
Lovely 1 BR duplex in prime Chelsea,Patty,Manhattan,Chelsea,Entire home/apt,175,4,5,1,0
Dreamy Luxury Penthouse w/ Terrace,Jerome,Manhattan,Chelsea,Entire home/apt,350,14,0,1,0
Sunny Apt. in Historic Harlem Bldg.,Jennifer,Manhattan,Harlem,Private room,63,1,6,1,0
Spend Summer in Park Slope,Zach,Brooklyn,Park Slope,Entire home/apt,150,7,4,1,94
Beautiful Greenwich Village Apartment,Carol,Manhattan,West Village,Entire home/apt,180,28,0,1,0
"House of Music and Art, Small Happy ROom",Clay,Brooklyn,Bushwick,Private room,64,2,32,3,14
Amazing Studio-Loft w/Outdoor Space,Peter,Manhattan,Greenwich Village,Entire home/apt,185,2,52,1,35
Harlem luxury w/ great amenities!,Justin,Manhattan,Harlem,Private room,80,2,126,3,173
Studio-Heart of Harlem****,Jodil H.,Manhattan,Harlem,Entire home/apt,75,2,15,1,0
